Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-01-30,1963.314697265625,1988.2480648386124,1951.5136895067212,1983.656267922126,2098567
2020-01-31,1909.3150634765625,1969.2839742507742,1902.4733311177656,1964.7379160726005,3287223
2020-02-03,1930.850341796875,2015.523020623924,1922.309555847523,1976.3091251114745,4728073
2020-02-04,1935.6719970703125,1962.2584564701235,1916.248785727616,1955.1871340352013,3509339
2020-02-05,1971.30419921875,1980.6254564253165,1932.503518814181,1942.329918477244,2439322
2020-02-06,1954.590087890625,1996.6967268836954,1942.7890813104616,1969.8806804116946,2640065
2020-02-07,1962.1199951171875,1975.3902380203922,1946.0027495886616,1964.3699298584932,2083442
2020-02-10,1985.4464111328125,1990.0841694289336,1946.002932634938,1966.1149072386927,2383032
2020-02-11,1977.5947265625,1997.2477491102875,1972.2684222598905,1986.411065078547,1335820
2020-02-12,1993.5283203125,2006.6149394830416,1974.4723660817115,1975.4826509292727,1620407
2020-02-13,2012.9976806640625,2017.6354401041542,1993.7580976177146,1995.5488534624335,1645948
2020-02-14,2005.8795166015625,2031.4099395259568,1993.7572236486674,2009.369325353885,1500115
2020-02-17,2023.3746337890625,2036.0020710815168,2011.3900030079271,2017.5889267696773,1774724
2020-02-18,2034.85400390625,2039.6753887739055,2007.5787857824048,2020.3438865104135,2486223
2020-02-19,2017.038330078125,2047.94102765041,2011.6658390440462,2034.8544089759623,1760463
2020-02-20,1980.7174072265625,2033.6147690260893,1975.6204682076684,2024.523101528788,2317278
2020-02-24,1942.6514892578125,2001.0590078456812,1934.7075465654004,1979.9827061631208,3092877
2020-02-25,1980.1199951171875,1998.9463577257327,1938.6561691043175,1942.788785286681,2674567
2020-02-26,1950.2275390625,1987.2372326517702,1940.446879798168,1978.1455669440322,2686842
2020-02-27,1933.6051025390625,1946.8753468123361,1915.8807269069962,1946.8753468123361,2349001
2020-02-28,1836.8560791015625,1900.5442638305512,1827.5347112939342,1899.1667251034453,4298076
2020-03-02,1837.912353515625,1886.2638768095114,1823.5858599869505,1868.861014416288,2667076
2020-03-03,1869.9632568359375,1891.820254128311,1847.7390054884281,1855.085880261742,2757585
